	:)	Smile
0	:-)	Smile
1	:)	Smile
2	:-]	Smile
3	:]	Smile
4	:-3	Smile
5	:3	Smile
6	:->	Smile
7	:>	Smile
8	8-)	Smile
9	8)	Smile
10	:-}	Smile
11	:}	Smile
12	:o)	Smile
13	:c)	Smile
14	:^)	Smile
15	=]	Smile
16	=)	Smile
17	:-D	Laugh
18	:D	Laugh
19	8-D	Laugh
20	8D	Laugh
21	x-D	Laugh
22	xD	Laugh
23	X-D	Laugh
24	XD	Laugh
25	=D	Laugh
26	=3	Laugh
27	B^D	Laugh
28	:-))	Very Happy
29	:-(	Sad
30	:(	Sad
31	:-c	Sad
32	:c	Sad
33	:-<	Sad
34	:<	Sad
35	:-[	Sad
36	:[	Sad
37	:-||	Sad
38	>:[	Sad
39	:{	Sad
40	:@	Sad
41	>:(	Sad
42	('_')	Sad
43	(/_;)	Sad
44	(T_T)	Sad
45	(;_;)	Sad
46	(;_;	Sad
47	(;_:)	Sad
48	(;O;)	Sad
49	(:_;)	Sad
50	(ToT)	Sad
51	(Ｔ▽Ｔ)	Sad
52	;_;	Sad
53	;-;	Sad
54	;n;	Sad
55	;;	Sad
56	Q.Q	Sad
57	T.T	Sad
58	TnT	Sad
59	QQ	Sad
60	Q_Q	Sad
61	(ー_ー)!!	Shame
62	(-.-)	Shame
63	(-_-)	Shame
64	(一一)	Shame
65	(；一_一)	Shame
66	＼(~o~)／	Exited
67	＼(^o^)／	Exited
68	＼(-o-)／	Exited
69	ヽ(^。^)ノ	Exited
70	ヽ(^o^)丿	Exited
71	(*^0^*)	Exited
72	:'-(	Crying
73	:'(	Crying
74	:'-)	Tears Happiness
75	:')	Tears Happiness
76	D-':	Disgust
77	D:<	Disgust
78	D:	Disgust
79	D8	Disgust
80	D;	Disgust
81	D=	Disgust
82	DX	Disgust
83	:-O	Shock
84	:O	Shock
85	:-o	Shock
86	:o	Shock
87	:-0	Shock
88	8-0	Shock
89	>:O	Shock
90	(￣□￣;)	Shock
91	°o°	Shock
92	°O°	Shock
93	:O o_O	Shock
94	o_0	Shock
95	o.O	Shock
96	(o.o)	Shock
97	oO	Shock
98	:-*	Kiss
99	:*	Kiss
100	:×	Kiss
101	;-)	Smirk
102	;)	Smirk
103	*-)	Smirk
104	*)	Smirk
105	;-]	Smirk
106	;]	Smirk
107	;^)	Smirk
108	:-, Smirk	Smirk
109	;D  Smirk	Smirk
110	:-P Cheeky	Smirk
111	:P	Cheeky
112	X-P	Cheeky
113	XP	Cheeky
114	x-p	Cheeky
115	xp	Cheeky
116	:-p	Cheeky
117	:p	Cheeky
118	:-Þ	Cheeky
119	:Þ	Cheeky
120	:-þ	Cheeky
121	:þ	Cheeky
122	:-b	Cheeky
123	:b	Cheeky
124	d:	Cheeky
125	=p	Cheeky
126	>:P	Cheeky
127	:-/	Annoyed
128	:/	Annoyed
129	:-.	Annoyed
130	>:\	Annoyed
131	>:/	Annoyed
132	:\	Annoyed
133	=/	Annoyed
134	=\	Annoyed
135	:L	Annoyed
136	=L	Annoyed
137	:S	Annoyed
138	:-| Indecision	Annoyed
139	:|	Indecision
140	:$	Embarrassed
141	://)	Embarrassed
142	://3	Embarrassed
143	(^^ゞ	Embarrassed
144	(^_^;)	Embarrassed
145	(-_-;)	Embarrassed
146	(~_~;)	Embarrassed
147	(・.・;)	Embarrassed
148	(・_・;)	Embarrassed
149	(・・;)^^	Embarrassed
150	;^_^;	Embarrassed
151	(#^.^#)	Embarrassed
152	(^^;)	Embarrassed
153	:-X	Shut
154	:X	Shut
155	:-#	Shut
156	:#	Shut
157	:-&	Shut
158	:&	Shut
159	O:-)	Innocent
160	O:)	Innocent
161	0:-3	Innocent
162	0:3	Innocent
163	0:-)	Innocent
164	0:)	Innocent
165	0;^)	Innocent
166	>:-)	Evil
167	>:)	Evil
168	}:-)	Evil
169	}:)	Evil
170	3:-)	Evil
171	3:)	Evil
172	>;)	Evil
173	>:3	Evil
174	>;3	Evil
175	:‑J Tongue in Cheek	Evil
176	#‑) Party all night	Evil
177	|;-)	Cool
178	|-O	Cool
179	%-)	Drunk
180	%)	Drunk
181	:-###..	Sick
182	:###.	Sick
183	<:-|	Dumb
184	(>_<)	Troubled
185	(>_<)>	Troubled
186	((+_+))	Confused
187	(+o+)	Confused
188	(°°)	Confused
189	(°-°)	Confused
190	(°.°)	Confused
191	(°_°)	Confused
192	(°_°>)	Confused
193	(°レ°)	Confused
194	^_^	Joyful
195	(°o°)	Joyful
196	(^_^)/	Joyful
197	(^O^)／	Joyful
198	(^o^)／	Joyful
199	(^^)/	Joyful
200	(-∇-)/	Joyful
201	(/-ヮ-)/	Joyful
202	(^o^)丿	Joyful
203	∩(·ω·)∩	Joyful
204	(·ω·)	Joyful
205	^ω^	Joyful
206	"(-""-)"	Worried
207	(ーー゛)	Worried
208	(^_^メ)	Worried
209	(-_-メ)	Worried
210	(~_~メ)	Worried
211	(－－〆)	Worried
212	(・へ・)	Worried
213	(｀´)	Worried
214	<`～´>	Worried
215	<`ヘ´>	Worried
216	(ーー;)	Worried
217	',:-|	Sceptism
218	',:-l	Sceptism
219	@};-	Rose
220	@}->--	Rose
221	@}‑;‑'‑‑‑	Rose
222	@>‑‑>‑‑	Rose
223	5:‑)	Elvis Presley
224	~:‑\	Elvis Presley
225	*<|:‑)	Santa Claus
226	~(_8^(I)	Homer Simpson
227	=:o]	Bill Clinton
228	7:^]	Ronald Reagan
229	,:‑)	Ronald Reagan
230	</3	Broken Heart
231	<\3	Broken Heart
232	<3	Heart
233	><>	Fish
234	<*)))‑{	Fish
235	><(((*>	Fish
236	\o/	Cheer
237	*\0/*	Cheerleader
238	//0‑0\\	John Lennon
239	^5	High Five
240	o/\o	High Five
241	>_>^ ^<_<	High Five
242	(';')	Baby
243	(^.^)y-.o○	Smoking
244	(-.-)y-°°°	Smoking
245	(-_-)zzz	Sleeping
246	(^_-)	Wink
247	(^_-)-☆	Wink
248	(o|o)	Ultraman
249	(__)	Respect
250	_(._.)_	Respect
251	_(_^_)_	Respect
252	<(_ _)>	Respect
253	<m(__)m>	Respect
254	m(__)m	Respect
255	m(_ _)m	Respect
256	＼(°ロ＼)	Questioning
257	(／ロ°)／	Questioning
258	(=_=)	tired
259	(=^・^=)	Cat
260	(=^・・^=)	Cat
261	=^_^=	Cat
262	(..)	Looking Down
263	(._.)	Looking Down
264	^m^	Gigle
265	(－‸ლ)	Face palm
266	(^^)/~~~	Waving
267	(^_^)/~	Waving
268	(;_;)/~~~	Waving
269	(^.^)/~~~	Waving
270	(-_-)/~~~	Waving
271	($··)/~~~	Waving
272	(@^^)/~~~	Waving
273	(T_T)/~~~	Waving
274	(ToT)/~~~	Waving
275	(*_*)	Amazed
276	(*_*;	Amazed
277	(+_+)	Amazed
278	(@_@)	Amazed
279	(@_@。	Amazed
280	(＠_＠;)	Amazed
281	＼(◎o◎)／！	Amazed
282	((d[-_-]b))	headphones
283	(^0_0^)	Eyeglasses
284	( ..)φ	Jotting Note
285	φ(..)	Jotting Note
286	(￣ー￣)	Grinning
287	(*´▽｀*)	Infatuation
288	(*°∀°)=3	Infatuation
289	(*￣m￣)	disatisfied
290	ヽ(´ー｀)┌	shrug
291	¯\_(ツ)_/¯	shrug
292	(´･ω･`)	deflated
293	(‘A`)	deflated
294	.o○	Bubbles
295	○o.	Bubbles
296	( ^^)_U~~	tea
297	( ^^)_旦~~	tea
298	☆彡	Shooting Star
299	☆ミ	Shooting Star
300	>°)))彡	Fish
301	(Q))><ヨヨ	Fish
302	(°))<<	Fish
303	>°))))彡	Fish
304	<°)))彡	Fish
305	>°))彡	Fish
306	<+))><<	Fish
307	<*))>=<	Fish
308	<コ:彡	Squid
309	Ｃ:.ミ	Squid
310	~>°)～～～	Snake
311	～°·_·°～	Bat
312	(°°)～	Tadpole
313	●～*	Bomb
314	(╯°□°）╯︵ ┻━┻	Angry
315	┬──┬ ¯\_(ツ)	Angry
316	┻━┻︵ヽ(`Д´)ﾉ︵ ┻━┻	Angry
317	┬─┬ノ( º _ ºノ)	Angry
318	(ノಠ益ಠ)ノ彡┻━┻	Angry
